n,prime,diff
14373,156217,60
14374,156227,10
14375,156229,2
14376,156241,12
14377,156253,12
14378,156257,4
14379,156259,2
14380,156269,10
14381,156307,38
14382,156319,12
14383,156329,10
14384,156347,18
14385,156353,6
14386,156361,8
14387,156371,10
14388,156419,48
14389,156421,2
14390,156437,16
14391,156467,30
14392,156487,20
14393,156491,4
14394,156493,2
14395,156511,18
14396,156521,10
14397,156539,18
14398,156577,38
14399,156589,12
14400,156593,4
14401,156601,8
14402,156619,18
14403,156623,4
14404,156631,8
14405,156641,10
14406,156659,18
14407,156671,12
14408,156677,6
14409,156679,2
14410,156683,4
14411,156691,8
14412,156703,12
14413,156707,4
14414,156719,12
14415,156727,8
14416,156733,6
14417,156749,16
14418,156781,32
14419,156797,16
14420,156799,2
14421,156817,18
14422,156823,6
14423,156833,10
14424,156841,8
14425,156887,46
14426,156899,12
14427,156901,2
14428,156913,12
14429,156941,28
14430,156943,2
14431,156967,24
14432,156971,4
14433,156979,8
14434,157007,28
14435,157013,6
14436,157019,6
14437,157037,18
14438,157049,12
14439,157051,2
14440,157057,6
14441,157061,4
14442,157081,20
14443,157103,22
14444,157109,6
14445,157127,18
14446,157133,6
14447,157141,8
14448,157163,22
14449,157177,14
14450,157181,4
14451,157189,8
14452,157207,18
14453,157211,4
14454,157217,6
14455,157219,2
14456,157229,10
14457,157231,2
14458,157243,12
14459,157247,4
14460,157253,6
14461,157259,6
14462,157271,12
14463,157273,2
14464,157277,4
14465,157279,2
14466,157291,12
14467,157303,12
14468,157307,4
14469,157321,14
14470,157327,6
14471,157349,22
14472,157351,2
14473,157363,12
14474,157393,30
14475,157411,18
14476,157427,16
14477,157429,2
14478,157433,4
14479,157457,24
14480,157477,20
14481,157483,6
14482,157489,6
14483,157513,24
14484,157519,6
14485,157523,4
14486,157543,20
14487,157559,16
14488,157561,2
14489,157571,10
14490,157579,8
14491,157627,48
14492,157637,10
14493,157639,2
14494,157649,10
14495,157667,18
14496,157669,2
14497,157679,10
14498,157721,42
14499,157733,12
14500,157739,6
14501,157747,8
14502,157769,22
14503,157771,2
14504,157793,22
14505,157799,6
14506,157813,14
14507,157823,10
14508,157831,8
14509,157837,6
14510,157841,4
14511,157867,26
14512,157877,10
14513,157889,12
14514,157897,8
14515,157901,4
14516,157907,6
14517,157931,24
14518,157933,2
14519,157951,18
14520,157991,40
14521,157999,8
14522,158003,4
14523,158009,6
14524,158017,8
14525,158029,12
14526,158047,18
14527,158071,24
14528,158077,6
14529,158113,36
14530,158129,16
14531,158141,12
14532,158143,2
14533,158161,18
14534,158189,28
14535,158201,12
14536,158209,8
14537,158227,18
14538,158231,4
14539,158233,2
14540,158243,10
14541,158261,18
14542,158269,8
14543,158293,24
14544,158303,10
14545,158329,26
14546,158341,12
14547,158351,10
14548,158357,6
14549,158359,2
14550,158363,4
14551,158371,8
14552,158393,22
14553,158407,14
14554,158419,12
14555,158429,10
14556,158443,14
14557,158449,6
14558,158489,40
14559,158507,18
14560,158519,12
14561,158527,8
14562,158537,10
14563,158551,14
14564,158563,12
14565,158567,4
14566,158573,6
14567,158581,8
14568,158591,10
14569,158597,6
14570,158611,14
14571,158617,6
14572,158621,4
14573,158633,12
14574,158647,14
14575,158657,10
14576,158663,6
14577,158699,36
14578,158731,32
14579,158747,16
14580,158749,2
14581,158759,10
14582,158761,2
14583,158771,10
14584,158777,6
14585,158791,14
14586,158803,12
14587,158843,40
14588,158849,6
14589,158863,14
14590,158867,4
14591,158881,14
14592,158909,28
14593,158923,14
14594,158927,4
14595,158941,14
14596,158959,18
14597,158981,22
14598,158993,12
14599,159013,20
14600,159017,4
14601,159023,6
14602,159059,36
14603,159073,14
14604,159079,6
14605,159097,18
14606,159113,16
14607,159119,6
14608,159157,38
14609,159161,4
14610,159167,6
14611,159169,2
14612,159179,10
14613,159191,12
14614,159193,2
14615,159199,6
14616,159209,10
14617,159223,14
14618,159227,4
14619,159233,6
14620,159287,54
14621,159293,6
14622,159311,18
14623,159319,8
14624,159337,18
14625,159347,10
14626,159349,2
14627,159361,12
14628,159389,28
14629,159403,14
14630,159407,4
14631,159421,14
14632,159431,10
14633,159437,6
14634,159457,20
14635,159463,6
14636,159469,6
14637,159473,4
14638,159491,18
14639,159499,8
14640,159503,4
14641,159521,18
14642,159539,18
14643,159541,2
14644,159553,12
14645,159563,10
14646,159569,6
14647,159571,2
14648,159589,18
14649,159617,28
14650,159623,6
14651,159629,6
14652,159631,2
14653,159667,36
14654,159671,4
14655,159673,2
14656,159683,10
14657,159697,14
14658,159701,4
14659,159707,6
14660,159721,14
14661,159737,16
14662,159739,2
14663,159763,24
14664,159769,6
14665,159773,4
14666,159779,6
14667,159787,8
14668,159791,4
14669,159793,2
14670,159799,6
14671,159811,12
14672,159833,22
14673,159839,6
14674,159853,14
14675,159857,4
14676,159869,12
14677,159871,2
14678,159899,28
14679,159911,12
14680,159931,20
14681,159937,6
14682,159977,40
14683,159979,2
14684,160001,22
14685,160009,8
14686,160019,10
14687,160031,12
14688,160033,2
14689,160049,16
14690,160073,24
14691,160079,6
14692,160081,2
14693,160087,6
14694,160091,4
14695,160093,2
14696,160117,24
14697,160141,24
14698,160159,18
14699,160163,4
14700,160169,6
14701,160183,14
14702,160201,18
14703,160207,6
14704,160217,10
14705,160231,14
14706,160243,12
14707,160253,10
14708,160309,56
14709,160313,4
14710,160319,6
14711,160343,24
14712,160357,14
14713,160367,10
14714,160373,6
14715,160387,14
14716,160397,10
14717,160403,6
14718,160409,6
14719,160423,14
14720,160441,18
14721,160453,12
14722,160481,28
14723,160483,2
14724,160499,16
14725,160507,8
14726,160541,34
14727,160553,12
14728,160579,26
14729,160583,4
14730,160591,8
14731,160603,12
14732,160619,16
14733,160621,2
14734,160627,6
14735,160637,10
14736,160639,2
14737,160649,10
14738,160651,2
14739,160663,12
14740,160669,6
14741,160681,12
14742,160687,6
14743,160697,10
14744,160709,12
14745,160711,2
14746,160723,12
14747,160739,16
14748,160751,12
14749,160753,2
14750,160757,4
14751,160781,24
14752,160789,8
14753,160807,18
14754,160813,6
14755,160817,4
14756,160829,12
14757,160841,12
14758,160861,20
14759,160877,16
14760,160879,2
14761,160883,4
14762,160903,20
14763,160907,4
14764,160933,26
14765,160967,34
14766,160969,2
14767,160981,12
14768,160997,16
14769,161009,12
14770,161017,8
14771,161033,16
14772,161039,6
14773,161047,8
14774,161053,6
14775,161059,6
14776,161071,12
14777,161087,16
14778,161093,6
14779,161123,30
14780,161137,14
14781,161141,4
14782,161149,8
14783,161159,10
14784,161167,8
14785,161201,34
14786,161221,20
14787,161233,12
14788,161237,4
14789,161263,26
14790,161267,4
14791,161281,14
14792,161303,22
14793,161309,6
14794,161323,14
14795,161333,10
14796,161339,6
14797,161341,2
14798,161363,22
14799,161377,14
14800,161387,10
14801,161407,20
14802,161411,4
14803,161453,42
14804,161459,6
14805,161461,2
14806,161471,10
14807,161503,32
14808,161507,4
14809,161521,14
14810,161527,6
14811,161531,4
14812,161543,12
14813,161561,18
14814,161563,2
14815,161569,6
14816,161573,4
14817,161591,18
14818,161599,8
14819,161611,12
14820,161627,16
14821,161639,12
14822,161641,2
14823,161659,18
14824,161683,24
14825,161717,34
14826,161729,12
14827,161731,2
14828,161741,10
14829,161743,2
14830,161753,10
14831,161761,8
14832,161771,10
14833,161773,2
14834,161779,6
14835,161783,4
14836,161807,24
14837,161831,24
14838,161839,8
14839,161869,30
14840,161873,4
14841,161879,6
14842,161881,2
14843,161911,30
14844,161921,10
14845,161923,2
14846,161947,24
14847,161957,10
14848,161969,12
14849,161971,2
14850,161977,6
14851,161983,6
14852,161999,16
14853,162007,8
14854,162011,4
14855,162017,6
14856,162053,36
14857,162059,6
14858,162079,20
14859,162091,12
14860,162109,18
14861,162119,10
14862,162143,24
14863,162209,66
14864,162221,12
14865,162229,8
14866,162251,22
14867,162257,6
14868,162263,6
14869,162269,6
14870,162277,8
14871,162287,10
14872,162289,2
14873,162293,4
14874,162343,50
14875,162359,16
14876,162389,30
14877,162391,2
14878,162413,22
14879,162419,6
14880,162439,20
14881,162451,12
14882,162457,6
14883,162473,16
14884,162493,20
14885,162499,6
14886,162517,18
14887,162523,6
14888,162527,4
14889,162529,2
14890,162553,24
14891,162557,4
14892,162563,6
14893,162577,14
14894,162593,16
14895,162601,8
14896,162611,10
14897,162623,12
14898,162629,6
14899,162641,12
14900,162649,8
14901,162671,22
14902,162677,6
14903,162683,6
14904,162691,8
14905,162703,12
14906,162709,6
14907,162713,4
14908,162727,14
14909,162731,4
14910,162739,8
14911,162749,10
14912,162751,2
14913,162779,28
14914,162787,8
14915,162791,4
14916,162821,30
14917,162823,2
14918,162829,6
14919,162839,10
14920,162847,8
14921,162853,6
14922,162859,6
14923,162881,22
14924,162889,8
14925,162901,12
14926,162907,6
14927,162917,10
14928,162937,20
14929,162947,10
14930,162971,24
14931,162973,2
14932,162989,16
14933,162997,8
14934,163003,6
14935,163019,16
14936,163021,2
14937,163027,6
14938,163061,34
14939,163063,2
14940,163109,46
14941,163117,8
14942,163127,10
14943,163129,2
14944,163147,18
14945,163151,4
14946,163169,18
14947,163171,2
14948,163181,10
14949,163193,12
14950,163199,6
14951,163211,12
14952,163223,12
14953,163243,20
14954,163249,6
14955,163259,10
14956,163307,48
14957,163309,2
14958,163321,12
14959,163327,6
14960,163337,10
14961,163351,14
14962,163363,12
14963,163367,4
14964,163393,26
14965,163403,10
14966,163409,6
14967,163411,2
14968,163417,6
14969,163433,16
14970,163469,36
14971,163477,8
14972,163481,4
14973,163483,2
14974,163487,4
14975,163517,30
14976,163543,26
14977,163561,18
14978,163567,6
14979,163573,6
14980,163601,28
14981,163613,12
14982,163621,8
14983,163627,6
14984,163633,6
14985,163637,4
14986,163643,6
14987,163661,18
14988,163673,12
14989,163679,6
14990,163697,18
14991,163729,32
14992,163733,4
14993,163741,8
14994,163753,12
14995,163771,18
14996,163781,10
14997,163789,8
14998,163811,22
14999,163819,8
15000,163841,22
15001,163847,6
15002,163853,6
15003,163859,6
15004,163861,2
15005,163871,10
15006,163883,12
15007,163901,18
15008,163909,8
15009,163927,18
15010,163973,46
15011,163979,6
15012,163981,2
15013,163987,6
15014,163991,4
15015,163993,2
15016,163997,4
15017,164011,14
15018,164023,12
15019,164039,16
15020,164051,12
15021,164057,6
15022,164071,14
15023,164089,18
15024,164093,4
15025,164113,20
15026,164117,4
15027,164147,30
15028,164149,2
15029,164173,24
15030,164183,10
15031,164191,8
15032,164201,10
15033,164209,8
15034,164231,22
15035,164233,2
15036,164239,6
15037,164249,10
15038,164251,2
15039,164267,16
15040,164279,12
15041,164291,12
15042,164299,8
15043,164309,10
15044,164321,12
15045,164341,20
15046,164357,16
15047,164363,6
15048,164371,8
15049,164377,6
15050,164387,10
15051,164413,26
15052,164419,6
15053,164429,10
15054,164431,2
15055,164443,12
15056,164447,4
15057,164449,2
15058,164471,22
15059,164477,6
15060,164503,26
15061,164513,10
15062,164531,18
15063,164569,38
15064,164581,12
15065,164587,6
15066,164599,12
15067,164617,18
15068,164621,4
15069,164623,2
15070,164627,4
15071,164653,26
15072,164663,10
15073,164677,14
15074,164683,6
15075,164701,18
15076,164707,6
15077,164729,22
15078,164743,14
15079,164767,24
15080,164771,4
15081,164789,18
15082,164809,20
15083,164821,12
15084,164831,10
15085,164837,6
15086,164839,2
15087,164881,42
15088,164893,12
15089,164911,18
15090,164953,42
15091,164963,10
15092,164987,24
15093,164999,12
15094,165001,2
15095,165037,36
15096,165041,4
15097,165047,6
15098,165049,2
15099,165059,10
15100,165079,20
15101,165083,4
15102,165089,6
15103,165103,14
15104,165133,30
15105,165161,28
15106,165173,12
15107,165181,8
15108,165203,22
15109,165211,8
15110,165229,18
15111,165233,4
15112,165247,14
15113,165287,40
15114,165293,6
15115,165311,18
15116,165313,2
15117,165317,4
15118,165331,14
15119,165343,12
15120,165349,6
15121,165367,18
15122,165379,12
15123,165383,4
15124,165391,8
15125,165397,6
15126,165437,40
15127,165443,6
15128,165449,6
15129,165457,8
15130,165463,6
15131,165469,6
15132,165479,10
15133,165511,32
15134,165523,12
15135,165527,4
15136,165533,6
15137,165541,8
15138,165551,10
15139,165553,2
15140,165559,6
15141,165569,10
15142,165587,18
15143,165589,2
15144,165601,12
15145,165611,10
15146,165617,6
15147,165653,36
15148,165667,14
15149,165673,6
15150,165701,28
15151,165703,2
15152,165707,4
15153,165709,2
15154,165713,4
15155,165719,6
15156,165721,2
15157,165749,28
15158,165779,30
15159,165799,20
15160,165811,12
15161,165817,6
15162,165829,12
15163,165833,4
15164,165857,24
15165,165877,20
15166,165883,6
15167,165887,4
15168,165901,14
15169,165931,30
15170,165941,10
15171,165947,6
15172,165961,14
15173,165983,22
15174,166013,30
15175,166021,8
15176,166027,6
15177,166031,4
15178,166043,12
15179,166063,20
15180,166081,18
15181,166099,18
15182,166147,48
15183,166151,4
15184,166157,6
15185,166169,12
15186,166183,14
15187,166189,6
15188,166207,18
15189,166219,12
15190,166237,18
15191,166247,10
15192,166259,12
15193,166273,14
15194,166289,16
15195,166297,8
15196,166301,4
15197,166303,2
15198,166319,16
15199,166349,30
15200,166351,2
15201,166357,6
15202,166363,6
15203,166393,30
15204,166399,6
15205,166403,4
15206,166409,6
15207,166417,8
15208,166429,12
15209,166457,28
15210,166471,14
15211,166487,16
15212,166541,54
15213,166561,20
15214,166567,6
15215,166571,4
15216,166597,26
15217,166601,4
15218,166603,2
15219,166609,6
15220,166613,4
15221,166619,6
15222,166627,8
15223,166631,4
15224,166643,12
15225,166657,14
15226,166667,10
15227,166669,2
15228,166679,10
15229,166693,14
15230,166703,10
15231,166723,20
15232,166739,16
15233,166741,2
15234,166781,40
15235,166783,2
15236,166799,16
15237,166807,8
15238,166823,16
15239,166841,18
15240,166843,2
15241,166847,4
15242,166849,2
15243,166853,4
15244,166861,8
15245,166867,6
15246,166871,4
15247,166909,38
15248,166919,10
15249,166931,12
15250,166949,18
15251,166967,18
15252,166973,6
15253,166979,6
15254,166987,8
15255,167009,22
15256,167017,8
15257,167021,4
15258,167023,2
15259,167033,10
15260,167039,6
15261,167047,8
15262,167051,4
15263,167071,20
15264,167077,6
15265,167081,4
15266,167087,6
15267,167099,12
15268,167107,8
15269,167113,6
15270,167117,4
15271,167119,2
15272,167149,30
15273,167159,10
15274,167173,14
15275,167177,4
15276,167191,14
15277,167197,6
15278,167213,16
15279,167221,8
15280,167249,28
15281,167261,12
15282,167267,6
15283,167269,2
15284,167309,40
15285,167311,2
15286,167317,6
15287,167329,12
15288,167339,10
15289,167341,2
15290,167381,40
15291,167393,12
15292,167407,14
15293,167413,6
15294,167423,10
15295,167429,6
15296,167437,8
15297,167441,4
15298,167443,2
15299,167449,6
15300,167471,22
15301,167483,12
15302,167491,8
15303,167521,30
15304,167537,16
15305,167543,6
15306,167593,50
15307,167597,4
15308,167611,14
15309,167621,10
15310,167623,2
15311,167627,4
15312,167633,6
15313,167641,8
15314,167663,22
15315,167677,14
15316,167683,6
15317,167711,28
15318,167729,18
15319,167747,18
15320,167759,12
15321,167771,12
15322,167777,6
15323,167779,2
15324,167801,22
15325,167809,8
15326,167861,52
15327,167863,2
15328,167873,10
15329,167879,6
15330,167887,8
15331,167891,4
15332,167899,8
15333,167911,12
15334,167917,6
15335,167953,36
15336,167971,18
15337,167987,16
15338,168013,26
15339,168023,10
15340,168029,6
15341,168037,8
15342,168043,6
15343,168067,24
15344,168071,4
15345,168083,12
15346,168089,6
15347,168109,20
15348,168127,18
15349,168143,16
15350,168151,8
15351,168193,42
15352,168197,4
15353,168211,14
15354,168227,16
15355,168247,20
15356,168253,6
15357,168263,10
15358,168269,6
15359,168277,8
15360,168281,4
15361,168293,12
15362,168323,30
15363,168331,8
15364,168347,16
15365,168353,6
15366,168391,38
15367,168409,18
15368,168433,24
15369,168449,16
15370,168451,2
15371,168457,6
15372,168463,6
15373,168481,18
15374,168491,10
15375,168499,8
15376,168523,24
15377,168527,4
15378,168533,6
15379,168541,8
15380,168559,18
15381,168599,40
15382,168601,2
15383,168617,16
15384,168629,12
15385,168631,2
15386,168643,12
15387,168673,30
15388,168677,4
15389,168697,20
15390,168713,16
15391,168719,6
15392,168731,12
15393,168737,6
15394,168743,6
15395,168761,18
15396,168769,8
15397,168781,12
15398,168803,22
15399,168851,48
15400,168863,12
15401,168869,6
15402,168887,18
15403,168893,6
15404,168899,6
15405,168901,2
15406,168913,12
15407,168937,24
15408,168943,6
15409,168977,34
15410,168991,14
15411,169003,12
15412,169007,4
15413,169009,2
15414,169019,10
15415,169049,30
15416,169063,14
15417,169067,4
15418,169069,2
15419,169079,10
15420,169093,14
15421,169097,4
15422,169111,14
15423,169129,18
15424,169151,22
15425,169159,8
15426,169177,18
15427,169181,4
15428,169199,18
15429,169217,18
15430,169219,2
15431,169241,22
15432,169243,2
15433,169249,6
15434,169259,10
15435,169283,24
15436,169307,24
15437,169313,6
15438,169319,6
15439,169321,2
15440,169327,6
15441,169339,12
15442,169343,4
15443,169361,18
15444,169369,8
15445,169373,4
15446,169399,26
15447,169409,10
15448,169427,18
15449,169457,30
15450,169471,14
15451,169483,12
15452,169489,6
15453,169493,4
15454,169501,8
15455,169523,22
15456,169531,8
15457,169553,22
15458,169567,14
15459,169583,16
15460,169591,8
15461,169607,16
15462,169627,20
15463,169633,6
15464,169639,6
15465,169649,10
15466,169657,8
15467,169661,4
15468,169667,6
15469,169681,14
15470,169691,10
15471,169693,2
15472,169709,16
15473,169733,24
15474,169751,18
15475,169753,2
15476,169769,16
15477,169777,8
15478,169783,6
15479,169789,6
15480,169817,28
15481,169823,6
15482,169831,8
15483,169837,6
15484,169843,6
15485,169859,16
15486,169889,30
15487,169891,2
15488,169909,18
15489,169913,4
15490,169919,6
15491,169933,14
15492,169937,4
15493,169943,6
15494,169951,8
15495,169957,6
15496,169987,30
15497,169991,4
15498,170003,12
15499,170021,18
15500,170029,8
15501,170047,18
15502,170057,10
15503,170063,6
15504,170081,18
15505,170099,18
15506,170101,2
15507,170111,10
15508,170123,12
15509,170141,18
15510,170167,26
15511,170179,12
15512,170189,10
15513,170197,8
15514,170207,10
15515,170213,6
15516,170227,14
15517,170231,4
15518,170239,8
15519,170243,4
15520,170249,6
15521,170263,14
15522,170267,4
15523,170279,12
15524,170293,14
15525,170299,6
15526,170327,28
15527,170341,14
15528,170347,6
15529,170351,4
15530,170353,2
15531,170363,10
15532,170369,6
15533,170371,2
15534,170383,12
15535,170389,6
15536,170393,4
15537,170413,20
15538,170441,28
15539,170447,6
15540,170473,26
15541,170483,10
15542,170497,14
15543,170503,6
15544,170509,6
15545,170537,28
15546,170539,2
15547,170551,12
15548,170557,6
15549,170579,22
15550,170603,24
15551,170609,6
15552,170627,18
15553,170633,6
15554,170641,8
15555,170647,6
15556,170669,22
15557,170689,20
15558,170701,12
15559,170707,6
15560,170711,4
15561,170741,30
15562,170749,8
15563,170759,10
15564,170761,2
15565,170767,6
15566,170773,6
15567,170777,4
15568,170801,24
15569,170809,8
15570,170813,4
15571,170827,14
15572,170837,10
15573,170843,6
15574,170851,8
15575,170857,6
15576,170873,16
15577,170881,8
15578,170887,6
15579,170899,12
15580,170921,22
15581,170927,6
15582,170953,26
15583,170957,4
15584,170971,14
15585,171007,36
15586,171023,16
15587,171029,6
15588,171043,14
15589,171047,4
15590,171049,2
15591,171053,4
15592,171077,24
15593,171079,2
15594,171091,12
15595,171103,12
15596,171131,28
15597,171161,30
15598,171163,2
15599,171167,4
15600,171169,2
15601,171179,10
15602,171203,24
15603,171233,30
15604,171251,18
15605,171253,2
15606,171263,10
15607,171271,8
15608,171293,22
15609,171299,6
15610,171317,18
15611,171329,12
15612,171341,12
15613,171383,42
15614,171401,18
15615,171403,2
15616,171427,24
15617,171439,12
15618,171449,10
15619,171467,18
15620,171469,2
15621,171473,4
15622,171481,8
15623,171491,10
15624,171517,26
15625,171529,12
15626,171539,10
15627,171541,2
15628,171553,12
15629,171559,6
15630,171571,12
15631,171583,12
15632,171617,34
15633,171629,12
15634,171637,8
15635,171641,4
15636,171653,12
15637,171659,6
15638,171671,12
15639,171673,2
15640,171679,6
15641,171697,18
15642,171707,10
15643,171713,6
15644,171719,6
15645,171733,14
15646,171757,24
15647,171761,4
15648,171763,2
15649,171793,30
15650,171799,6
15651,171803,4
15652,171811,8
15653,171823,12
15654,171827,4
15655,171851,24
15656,171863,12
15657,171869,6
15658,171877,8
15659,171881,4
15660,171889,8
15661,171917,28
15662,171923,6
15663,171929,6
15664,171937,8
15665,171947,10
15666,172001,54
15667,172009,8
15668,172021,12
15669,172027,6
15670,172031,4
15671,172049,18
15672,172069,20
15673,172079,10
15674,172093,14
15675,172097,4
15676,172127,30
15677,172147,20
15678,172153,6
15679,172157,4
15680,172169,12
15681,172171,2
15682,172181,10
15683,172199,18
15684,172213,14
15685,172217,4
15686,172219,2
15687,172223,4
15688,172243,20
15689,172259,16
15690,172279,20
15691,172283,4
15692,172297,14
15693,172307,10
15694,172313,6
15695,172321,8
15696,172331,10
15697,172343,12
15698,172351,8
15699,172357,6
15700,172373,16
15701,172399,26
15702,172411,12
15703,172421,10
15704,172423,2
15705,172427,4
15706,172433,6
15707,172439,6
15708,172441,2
15709,172489,48
15710,172507,18
15711,172517,10
15712,172519,2
15713,172541,22
15714,172553,12
15715,172561,8
15716,172573,12
15717,172583,10
15718,172589,6
15719,172597,8
15720,172603,6
15721,172607,4
15722,172619,12
15723,172633,14
15724,172643,10
15725,172649,6
15726,172657,8
15727,172663,6
15728,172673,10
15729,172681,8
15730,172687,6
15731,172709,22
15732,172717,8
15733,172721,4
15734,172741,20
15735,172751,10
15736,172759,8
15737,172787,28
15738,172801,14
15739,172807,6
15740,172829,22
15741,172849,20
15742,172853,4
15743,172859,6
15744,172867,8
15745,172871,4
15746,172877,6
15747,172883,6
15748,172933,50
15749,172969,36
15750,172973,4
15751,172981,8
15752,172987,6
15753,172993,6
15754,172999,6
15755,173021,22
15756,173023,2
15757,173039,16
15758,173053,14
15759,173059,6
15760,173081,22
15761,173087,6
15762,173099,12
15763,173137,38
15764,173141,4
15765,173149,8
15766,173177,28
15767,173183,6
15768,173189,6
15769,173191,2
15770,173207,16
15771,173209,2
15772,173219,10
15773,173249,30
15774,173263,14
15775,173267,4
15776,173273,6
15777,173291,18
15778,173293,2
15779,173297,4
15780,173309,12
15781,173347,38
15782,173357,10
15783,173359,2
15784,173429,70
15785,173431,2
15786,173473,42
15787,173483,10
15788,173491,8
15789,173497,6
15790,173501,4
15791,173531,30
15792,173539,8
15793,173543,4
15794,173549,6
15795,173561,12
15796,173573,12
15797,173599,26
15798,173617,18
15799,173629,12
15800,173647,18
15801,173651,4
15802,173659,8
15803,173669,10
15804,173671,2
15805,173683,12
15806,173687,4
15807,173699,12
15808,173707,8
15809,173713,6
15810,173729,16
15811,173741,12
15812,173743,2
15813,173773,30
15814,173777,4
15815,173779,2
15816,173783,4
15817,173807,24
15818,173819,12
15819,173827,8
15820,173839,12
15821,173851,12
15822,173861,10
15823,173867,6
15824,173891,24
15825,173897,6
15826,173909,12
15827,173917,8
15828,173923,6
15829,173933,10
15830,173969,36
15831,173977,8
15832,173981,4
15833,173993,12
15834,174007,14
15835,174017,10
15836,174019,2
15837,174047,28
15838,174049,2
15839,174061,12
15840,174067,6
15841,174071,4
15842,174077,6
15843,174079,2
15844,174091,12
15845,174101,10
15846,174121,20
15847,174137,16
15848,174143,6
15849,174149,6
15850,174157,8
15851,174169,12
15852,174197,28
15853,174221,24
15854,174241,20
15855,174257,16
15856,174259,2
15857,174263,4
15858,174281,18
15859,174289,8
15860,174299,10
15861,174311,12
15862,174329,18
15863,174331,2
15864,174337,6
15865,174347,10
15866,174367,20
15867,174389,22
15868,174407,18
15869,174413,6
15870,174431,18
15871,174443,12
15872,174457,14
15873,174467,10
15874,174469,2
15875,174481,12
15876,174487,6
15877,174491,4
15878,174527,36
15879,174533,6
15880,174569,36
15881,174571,2
15882,174583,12
15883,174599,16
15884,174613,14
15885,174617,4
15886,174631,14
15887,174637,6
15888,174649,12
15889,174653,4
15890,174659,6
15891,174673,14
15892,174679,6
15893,174703,24
15894,174721,18
15895,174737,16
15896,174749,12
15897,174761,12
15898,174763,2
15899,174767,4
15900,174773,6
15901,174799,26
15902,174821,22
15903,174829,8
15904,174851,22
15905,174859,8
15906,174877,18
15907,174893,16
15908,174901,8
15909,174907,6
15910,174917,10
15911,174929,12
15912,174931,2
15913,174943,12
15914,174959,16
15915,174989,30
15916,174991,2
15917,175003,12
15918,175013,10
15919,175039,26
15920,175061,22
15921,175067,6
15922,175069,2
15923,175079,10
15924,175081,2
15925,175103,22
15926,175129,26
15927,175141,12
15928,175211,70
15929,175229,18
15930,175261,32
15931,175267,6
15932,175277,10
15933,175291,14
15934,175303,12
15935,175309,6
15936,175327,18
15937,175333,6
15938,175349,16
15939,175361,12
15940,175391,30
15941,175393,2
15942,175403,10
15943,175411,8
15944,175433,22
15945,175447,14
15946,175453,6
15947,175463,10
15948,175481,18
15949,175493,12
15950,175499,6
15951,175519,20
15952,175523,4
15953,175543,20
15954,175573,30
15955,175601,28
15956,175621,20
15957,175631,10
15958,175633,2
15959,175649,16
15960,175663,14
15961,175673,10
15962,175687,14
15963,175691,4
15964,175699,8
15965,175709,10
15966,175723,14
15967,175727,4
15968,175753,26
15969,175757,4
15970,175759,2
15971,175781,22
15972,175783,2
15973,175811,28
15974,175829,18
15975,175837,8
15976,175843,6
15977,175853,10
15978,175859,6
15979,175873,14
15980,175891,18
15981,175897,6
15982,175909,12
15983,175919,10
15984,175937,18
15985,175939,2
15986,175949,10
15987,175961,12
15988,175963,2
15989,175979,16
15990,175991,12
15991,175993,2
15992,176017,24
15993,176021,4
15994,176023,2
15995,176041,18
15996,176047,6
15997,176051,4
15998,176053,2
15999,176063,10
16000,176081,18
16001,176087,6
16002,176089,2
16003,176123,34
16004,176129,6
16005,176153,24
16006,176159,6
16007,176161,2
16008,176179,18
16009,176191,12
16010,176201,10
16011,176207,6
16012,176213,6
16013,176221,8
16014,176227,6
16015,176237,10
16016,176243,6
16017,176261,18
16018,176299,38
16019,176303,4
16020,176317,14
16021,176321,4
16022,176327,6
16023,176329,2
16024,176333,4
16025,176347,14
16026,176353,6
16027,176357,4
16028,176369,12
16029,176383,14
16030,176389,6
16031,176401,12
16032,176413,12
16033,176417,4
16034,176419,2
16035,176431,12
16036,176459,28
16037,176461,2
16038,176467,6
16039,176489,22
16040,176497,8
16041,176503,6
16042,176507,4
16043,176509,2
16044,176521,12
16045,176531,10
16046,176537,6
16047,176549,12
16048,176551,2
16049,176557,6
16050,176573,16
16051,176591,18
16052,176597,6
16053,176599,2
16054,176609,10
16055,176611,2
16056,176629,18
16057,176641,12
16058,176651,10
16059,176677,26
16060,176699,22
16061,176711,12
16062,176713,2
16063,176741,28
16064,176747,6
16065,176753,6
16066,176777,24
16067,176779,2
16068,176789,10
16069,176791,2
16070,176797,6
16071,176807,10
16072,176809,2
16073,176819,10
16074,176849,30
16075,176857,8
16076,176887,30
16077,176899,12
16078,176903,4
16079,176921,18
16080,176923,2
16081,176927,4
16082,176933,6
16083,176951,18
16084,176977,26
16085,176983,6
16086,176989,6
16087,177007,18
16088,177011,4
16089,177013,2
16090,177019,6
16091,177043,24
16092,177091,48
16093,177101,10
16094,177109,8
16095,177113,4
16096,177127,14
16097,177131,4
16098,177167,36
16099,177173,6
16100,177209,36
16101,177211,2
16102,177217,6
16103,177223,6
16104,177239,16
16105,177257,18
16106,177269,12
16107,177283,14
16108,177301,18
16109,177319,18
16110,177323,4
16111,177337,14
16112,177347,10
16113,177379,32
16114,177383,4
16115,177409,26
16116,177421,12
16117,177427,6
16118,177431,4
16119,177433,2
16120,177467,34
16121,177473,6
